conversation_id,message_id,customer_id,timestamp,promise_text,action,amount,deadline_text,normalized_deadline,detected_status,days_overdue,detected_broken_promise,fulfilled,fulfillment_message_id,fulfillment_similarity
CONV-000013,MSG-000013-01,CUST-0455,2026-01-12 19:55:00,"Regarding reference 467221: I’m going to check the delivery scan today, then I’ll update you.",check the delivery scan,,today,2026-01-12 00:00:00,overdue,239.6812956238426,1,False,,0.0
CONV-000015,MSG-000015-02,CUST-0494,2026-07-07 22:25:00,Regarding reference 570168: Count on me to ask our security team to verify the login — today.,ask our security team to verify the login,,today,2026-07-07 00:00:00,overdue,63.68129562392361,1,False,,0.0
CONV-000016,MSG-000016-03,CUST-0587,2026-07-01 18:48:01,"In this account context, Let me ask our security team to verify the login today.",ask our security team to verify the login,,today,2026-07-01 00:00:00,overdue,69.6812956240162,1,False,,0.0
CONV-000017,MSG-000017-01,CUST-0314,2026-01-08 02:53:00,"In this account context, I’ll make sure I call you with the outcome tomorrow, then I’ll update you.",call you with the outcome,,tomorrow,2026-01-09 00:00:00,overdue,242.68129562409723,1,False,,0.0
CONV-000017,MSG-000017-02,CUST-0314,2026-01-08 02:57:00,Quick note on ticket 617682: Leave this with me — I’ll update the access settings tomorrow.,update the access settings,,tomorrow,2026-01-09 00:00:00,overdue,242.68129562417826,1,False,,0.0
CONV-000018,MSG-000018-01,CUST-0544,2026-01-15 01:18:00,Regarding reference 673115: I’m going to coordinate the refund review tomorrow.,coordinate the refund review,,tomorrow,2026-01-16 00:00:00,overdue,235.68129562425926,1,False,,0.0
CONV-000018,MSG-000018-09,CUST-0544,2026-01-15 03:10:00,"For the record, Leave this with me — I’ll raise this with the engineering queue — today.",raise this with the engineering queue,,today,2026-01-15 00:00:00,overdue,236.6812956243403,1,False,,0.0
CONV-000019,MSG-000019-01,CUST-0253,2026-07-10 03:01:00,"In this account context, I can take this forward and send the corrected invoice today.",send the corrected invoice,,today,2026-07-10 00:00:00,overdue,60.68129562443287,1,False,,0.0
CONV-000019,MSG-000019-02,CUST-0253,2026-07-10 03:15:00,"Looking at request 752305, Let me confirm the cancellation details tomorrow, then I’ll update you.",confirm the cancellation details,,tomorrow,2026-07-11 00:00:00,overdue,59.681295624513886,1,False,,0.0
CONV-000020,MSG-000020-01,CUST-0300,2026-04-03 15:35:00,"For case 768143, Leave this with me — I’ll arrange a replacement unit — by Friday.",arrange a replacement unit,,,,no_deadline,0.0,0,False,,0.0
CONV-000023,MSG-000023-01,CUST-0230,2026-07-28 14:37:00,"On the support thread, Hi — I’ll make sure I attach the requested export today, then I’ll update you.",attach the requested export,,today,2026-07-28 00:00:00,overdue,42.6812956245949,1,False,,0.0
CONV-000023,MSG-000023-02,CUST-0230,2026-07-28 14:41:00,"In this account context, Leave this with me — I’ll restore the missing entitlement — tomorrow.",restore the missing entitlement,,tomorrow,2026-07-29 00:00:00,overdue,41.6812956246875,1,False,,0.0
CONV-000024,MSG-000024-07,CUST-0961,2026-04-28 06:08:00,"For the record, I will share the diagnostic notes — today. I know this has been frustrating.",share the diagnostic notes,,today,2026-04-28 00:00:00,overdue,133.68129562476852,1,False,,0.0
CONV-000027,MSG-000027-04,CUST-0657,2026-03-12 20:56:00,"On the current thread (061163), I’ll make sure I ask our security team to verify the login and keep you posted.",ask our security team to verify the login,,,,no_deadline,0.0,0,False,,0.0
CONV-000028,MSG-000028-02,CUST-0814,2026-06-07 13:33:00,"In this account context, Hi — I’ll make sure I share the diagnostic notes and update you once I have news.",share the diagnostic notes,,,,no_deadline,0.0,0,False,,0.0
CONV-000028,MSG-000028-04,CUST-0814,2026-06-07 14:01:00,Regarding reference 092839: Let me restore the missing entitlement — today.,restore the missing entitlement,,today,2026-06-07 00:00:00,overdue,93.68129562486111,1,False,,0.0
CONV-000028,MSG-000028-07,CUST-0814,2026-06-07 14:01:03,"On the support thread, I’m going to call you with the outcome today.",call you with the outcome,,today,2026-06-07 00:00:00,overdue,93.68129562494212,1,False,,0.0
CONV-000030,MSG-000030-01,CUST-0645,2026-04-30 13:58:00,"Looking at request 164110, Count on me to attach the requested export today.",attach the requested export,,today,2026-04-30 00:00:00,overdue,131.68129562502315,1,False,,0.0
CONV-000031,MSG-000031-02,CUST-0440,2026-05-23 19:06:00,"For the record, Count on me to restore the missing entitlement — by Friday.",restore the missing entitlement,,,,no_deadline,0.0,0,False,,0.0
CONV-000032,MSG-000032-02,CUST-0308,2026-08-17 13:30:00,Quick note on ticket 227462: I’ll make sure I share the diagnostic notes by Friday.,share the diagnostic notes,,,,no_deadline,0.0,0,False,,0.0
CONV-000032,MSG-000032-07,CUST-0308,2026-08-17 14:12:02,"Regarding reference 267057: Let me share the diagnostic notes tomorrow, then I’ll update you.",share the diagnostic notes,,tomorrow,2026-08-18 00:00:00,overdue,21.68129562511574,1,False,,0.0
CONV-000034,MSG-000034-04,CUST-0095,2026-03-31 13:16:01,"Looking at request 370004, Hi — Leave this with me — I’ll update the access settings — later this week.",update the access settings,,this week,2026-04-06 00:00:00,overdue,155.68129562519675,1,False,,0.0
CONV-000037,MSG-000037-03,CUST-0428,2026-08-06 04:59:00,"For the record, I can take this forward and update the access settings then circle back here.",update the access settings,,,,no_deadline,0.0,0,False,,0.0
CONV-000038,MSG-000038-01,CUST-0552,2026-03-25 12:24:00,"On the current thread (472951), I will confirm the cancellation details today. thx",confirm the cancellation details,,today,2026-03-25 00:00:00,overdue,167.68129562528935,1,False,,0.0
CONV-000038,MSG-000038-08,CUST-0552,2026-03-25 14:02:00,"In this account context, Leave this with me — I’ll review the account history today, then I’ll update you.",review the account history,,today,2026-03-25 00:00:00,overdue,167.68129562537038,1,False,,0.0
CONV-000039,MSG-000039-04,CUST-0782,2026-08-16 22:10:00,"For case 560060, I will update the access settings within 24 hours.",update the access settings,,within 24 hours,2026-08-17 22:10:00,overdue,21.75768451434028,1,False,,0.0
CONV-000040,MSG-000040-02,CUST-0979,2026-06-11 21:29:00,"On the support thread, I’m going to send the corrected invoice — later this week.",send the corrected invoice,,this week,2026-06-17 00:00:00,overdue,83.6812956255324,1,False,,0.0
CONV-000041,MSG-000041-01,CUST-0759,2026-07-29 17:40:00,"In this account context, Hi — I’m going to call you with the outcome today.",call you with the outcome,,today,2026-07-29 00:00:00,overdue,41.681295625625005,1,False,,0.0
CONV-000042,MSG-000042-05,CUST-0967,2026-05-17 22:32:00,"In this account context, I’m going to ask our security team to verify the login within 24 hours, then I’ll update you.",ask our security team to verify the login,,within 24 hours,2026-05-18 22:32:00,overdue,112.74240673697916,1,False,,0.0
CONV-000043,MSG-000043-01,CUST-0054,2026-03-04 13:36:00,"For case 694683, Hi — Count on me to coordinate the refund review tomorrow.",coordinate the refund review,,tomorrow,2026-03-05 00:00:00,overdue,187.68129562594908,1,False,,0.0
CONV-000043,MSG-000043-03,CUST-0054,2026-03-04 13:45:01,"On the current thread (710521), I’ll review the account history by Friday, then I’ll update you.",review the account history,,,,no_deadline,0.0,0,False,,0.0
CONV-000044,MSG-000044-01,CUST-0004,2026-02-02 06:46:00,"On the support thread, count on me to arrange a replacement unit — later this week.",arrange a replacement unit,,this week,2026-02-08 00:00:00,overdue,212.68129562604167,1,False,,0.0
CONV-000044,MSG-000044-05,CUST-0004,2026-02-02 07:22:00,"For the record, i’ll make sure i confirm the cancellation details — by friday.",confirm the cancellation details,,,,no_deadline,0.0,0,False,,0.0
CONV-000046,MSG-000046-06,CUST-0877,2026-03-03 00:29:00,Quick note on ticket 853063: I’m going to attach the requested export — tomorrow. thx,attach the requested export,,tomorrow,2026-03-04 00:00:00,overdue,188.68129562613424,1,False,,0.0
CONV-000048,MSG-000048-01,CUST-0295,2026-01-09 13:41:00,"On the support thread, Count on me to check the delivery scan within 24 hours.",check the delivery scan,,within 24 hours,2026-01-10 13:41:00,overdue,241.11115673732638,1,False,,0.0
CONV-000048,MSG-000048-02,CUST-0295,2026-01-09 13:50:00,"For case 924334, let me restore the missing entitlement without requiring another message from you.",restore the missing entitlement,,,,no_deadline,0.0,0,False,,0.0
CONV-000048,MSG-000048-05,CUST-0295,2026-01-09 14:09:02,"Quick note on ticket 948091: i can take this forward and attach the requested export tomorrow, then i’ll update you.",attach the requested export,,tomorrow,2026-01-10 00:00:00,overdue,241.68129562629628,1,False,,0.0
CONV-000049,MSG-000049-03,CUST-0844,2026-01-13 06:22:01,"In this account context, I’ll personally coordinate the refund review then circle back here.",coordinate the refund review,,,,no_deadline,0.0,0,False,,0.0
CONV-000049,MSG-000049-07,CUST-0844,2026-01-13 06:58:01,"For the record, I’ll personally check the delivery scan — tomorrow.",check the delivery scan,,tomorrow,2026-01-14 00:00:00,overdue,237.6812956263889,1,False,,0.0
CONV-000050,MSG-000050-01,CUST-0762,2026-03-08 08:39:00,"On the support thread, Let me arrange a replacement unit — by Friday.",arrange a replacement unit,,,,no_deadline,0.0,0,False,,0.0
CONV-000053,MSG-000053-03,CUST-0236,2026-04-13 11:09:01,Regarding reference 122326: I will attach the requested export tomorrow. I know this has been frustrating.,attach the requested export,,tomorrow,2026-04-14 00:00:00,overdue,147.6812956264815,1,False,,0.0
CONV-000058,MSG-000058-02,CUST-0510,2026-06-13 17:21:00,"Looking at request 256949, I’ll make sure I confirm the cancellation details after I verify the details.",confirm the cancellation details,,,,no_deadline,0.0,0,False,,0.0
CONV-000058,MSG-000058-03,CUST-0510,2026-06-13 17:24:00,"For case 264868, I will ask our security team to verify the login — today.",ask our security team to verify the login,,today,2026-06-13 00:00:00,overdue,87.6812956265625,1,False,,0.0
CONV-000058,MSG-000058-04,CUST-0510,2026-06-13 17:39:00,"On the support thread, ill personally call u with the outcome later this week, then ill update u. thx",,,this week,2026-06-19 00:00:00,overdue,81.68129562664352,1,False,,0.0
CONV-000059,MSG-000059-04,CUST-0252,2026-08-16 10:36:00,"Looking at request 304463, let me trace the failed payment within 24 hours.",trace the failed payment,,within 24 hours,2026-08-17 10:36:00,overdue,22.23962896005787,0,True,MSG-000059-06,0.4614529311656952
CONV-000060,MSG-000060-01,CUST-0580,2026-04-25 12:24:00,"On the support thread, Hi — Let me restore the missing entitlement — tomorrow.",restore the missing entitlement,,tomorrow,2026-04-26 00:00:00,overdue,135.68129562681713,1,False,,0.0
CONV-000063,MSG-000063-05,CUST-0436,2026-07-20 04:49:02,Regarding reference 494519: I can take this forward and trace the failed payment — later this week.,trace the failed payment,,this week,2026-07-26 00:00:00,overdue,44.68129562689815,1,False,,0.0
CONV-000066,MSG-000066-04,CUST-0370,2026-05-20 20:58:00,Regarding reference 597466: Let me update the access settings and update you once I have news.,update the access settings,,,,no_deadline,0.0,0,False,,0.0
CONV-000067,MSG-000067-04,CUST-0212,2026-01-25 03:14:00,"In this account context, Count on me to review the account history today.",review the account history,,today,2026-01-25 00:00:00,overdue,226.68129562697916,1,False,,0.0
CONV-000067,MSG-000067-07,CUST-0212,2026-01-25 03:14:03,"Regarding reference 668737: I will ask our security team to verify the login later this week, then I’ll update you.",ask our security team to verify the login,,this week,2026-01-31 00:00:00,overdue,220.6812956270602,1,False,,0.0
CONV-000067,MSG-000067-09,CUST-0212,2026-01-25 04:39:00,Regarding reference 684575: i will arrange a replacement unit — today.,arrange a replacement unit,,today,2026-01-25 00:00:00,overdue,226.6812956271412,1,False,,0.0
CONV-000068,MSG-000068-01,CUST-0231,2026-04-02 15:51:00,"On the current thread (700413), I’ll personally send the corrected invoice today.",send the corrected invoice,,today,2026-04-02 00:00:00,overdue,159.68129562743056,1,False,,0.0
CONV-000068,MSG-000068-04,CUST-0231,2026-04-02 16:19:01,"In this account context, I can take this forward and ask our security team to verify the login tomorrow.",ask our security team to verify the login,,tomorrow,2026-04-03 00:00:00,overdue,158.68129562752316,1,False,,0.0
CONV-000070,MSG-000070-02,CUST-0524,2026-01-30 13:32:00,"On the current thread (763765), count on me to send the corrected invoice — tomorrow.",send the corrected invoice,,tomorrow,2026-01-31 00:00:00,overdue,220.68129562761575,1,False,,0.0
CONV-000071,MSG-000071-02,CUST-0689,2026-05-23 13:15:00,"For the record, I’ll personally confirm the cancellation details tomorrow, then I’ll update you. I know this has been frustrating.",confirm the cancellation details,,tomorrow,2026-05-24 00:00:00,overdue,107.68129562770834,1,False,,0.0
CONV-000072,MSG-000072-02,CUST-0352,2026-08-04 04:52:00,"On the current thread (811279), Hi — Let me send a written explanation tomorrow.",send a written explanation,,tomorrow,2026-08-05 00:00:00,overdue,34.68129562778935,1,False,,0.0
CONV-000072,MSG-000072-04,CUST-0352,2026-08-04 05:15:00,"In this account context, Leave this with me — I’ll arrange a replacement unit — today.",arrange a replacement unit,,today,2026-08-04 00:00:00,overdue,35.681295627881944,1,False,,0.0
CONV-000072,MSG-000072-05,CUST-0352,2026-08-04 05:15:01,"Looking at request 835036, count on me to coordinate the refund review before the end of my shift.",coordinate the refund review,,,,no_deadline,0.0,0,False,,0.0
CONV-000074,MSG-000074-03,CUST-0039,2026-04-18 21:20:00,"Looking at request 906307, I’ll make sure I send a written explanation today.",send a written explanation,,today,2026-04-18 00:00:00,overdue,143.68129562797455,1,False,,0.0
CONV-000074,MSG-000074-05,CUST-0039,2026-04-18 21:28:00,Quick note on ticket 922145: I’ll send a written explanation — today. I know this has been frustrating.,send a written explanation,,today,2026-04-18 00:00:00,overdue,143.68129562806712,1,False,,0.0
CONV-000074,MSG-000074-07,CUST-0039,2026-04-18 21:28:02,"For the record, I’ll personally send a written explanation — tomorrow. I know this has been frustrating.",send a written explanation,,tomorrow,2026-04-19 00:00:00,overdue,142.68129562815972,1,False,,0.0
CONV-000075,MSG-000075-02,CUST-0804,2026-03-01 09:45:00,"For case 953821, leave this with me — i’ll send a written explanation today.",send a written explanation,,today,2026-03-01 00:00:00,overdue,191.68129562824075,1,False,,0.0
CONV-000076,MSG-000076-01,CUST-0367,2026-04-12 12:33:00,"Looking at request 985497, Count on me to coordinate the refund review tomorrow.",coordinate the refund review,,tomorrow,2026-04-13 00:00:00,overdue,148.68129562833334,1,False,,0.0
CONV-000076,MSG-000076-02,CUST-0367,2026-04-12 12:47:00,"Looking at request 993416, Let me send the corrected invoice today, then I’ll update you.",send the corrected invoice,,today,2026-04-12 00:00:00,overdue,149.68129562842591,1,False,,0.0
CONV-000076,MSG-000076-04,CUST-0367,2026-04-12 12:51:01,"On the current thread (009271), Count on me to send the corrected invoice — tomorrow.",send the corrected invoice,,tomorrow,2026-04-13 00:00:00,overdue,148.68129562850694,1,False,,0.0
CONV-000079,MSG-000079-02,CUST-0854,2026-01-07 10:55:00,"Looking at request 088461, Hi — I will call you with the outcome — today.",call you with the outcome,,today,2026-01-07 00:00:00,overdue,244.68129562859954,1,False,,0.0
CONV-000080,MSG-000080-02,CUST-0518,2026-03-19 21:16:00,Quick note on ticket 128056: I can take this forward and raise this with the engineering queue — within 24 hours.,raise this with the engineering queue,,within 24 hours,2026-03-20 21:16:00,overdue,171.79518451758102,1,False,,0.0
CONV-000080,MSG-000080-04,CUST-0518,2026-03-19 21:54:00,Quick note on ticket 143894: Hi — Count on me to share the diagnostic notes — later this week.,share the diagnostic notes,,this week,2026-03-25 00:00:00,overdue,167.68129562877314,1,False,,0.0
CONV-000081,MSG-000081-01,CUST-0765,2026-01-19 17:03:00,Regarding reference 151813: Leave this with me — I’ll update the access settings before the end of my shift.,update the access settings,,,,no_deadline,0.0,0,False,,0.0
CONV-000082,MSG-000082-03,CUST-0768,2026-08-10 09:31:01,"For the record, Count on me to attach the requested export — tomorrow.",attach the requested export,,tomorrow,2026-08-11 00:00:00,overdue,28.68129562886574,1,False,,0.0
CONV-000082,MSG-000082-07,CUST-0768,2026-08-10 10:27:01,"Looking at request 231003, Leave this with me — I’ll restore the missing entitlement — today.",restore the missing entitlement,,today,2026-08-10 00:00:00,overdue,29.681295628958335,1,False,,0.0
CONV-000083,MSG-000083-01,CUST-0781,2026-02-27 03:45:00,"Quick note on ticket 238922: I can take this forward and confirm the cancellation details within 24 hours, then I’ll update you.",confirm the cancellation details,,within 24 hours,2026-02-28 03:45:00,overdue,192.52504562905094,1,False,,0.0
CONV-000083,MSG-000083-05,CUST-0781,2026-02-27 04:27:01,"On the support thread, Leave this with me — I’ll send the corrected invoice within 24 hours, then I’ll update you.",send the corrected invoice,,within 24 hours,2026-02-28 04:27:01,overdue,192.4958673884028,1,False,,0.0
CONV-000085,MSG-000085-01,CUST-0626,2026-05-24 21:02:00,"Quick note on ticket 318112: I’ll review the account history later this week, then I’ll update you.",review the account history,,this week,2026-05-30 00:00:00,overdue,101.68129562922454,1,False,,0.0
CONV-000085,MSG-000085-02,CUST-0626,2026-05-24 21:06:00,"For case 326031, I will call you with the outcome tomorrow, then I’ll update you.",call you with the outcome,,tomorrow,2026-05-25 00:00:00,overdue,106.68129562931713,1,False,,0.0
CONV-000085,MSG-000085-05,CUST-0626,2026-05-24 21:20:02,"On the support thread, Leave this with me — I’ll coordinate the refund review — today.",coordinate the refund review,,today,2026-05-24 00:00:00,overdue,107.68129562940972,1,False,,0.0
CONV-000087,MSG-000087-04,CUST-0016,2026-01-28 13:17:01,"Looking at request 452735, I’m going to coordinate the refund review today.",coordinate the refund review,,today,2026-01-28 00:00:00,overdue,223.68129562949076,1,False,,0.0
CONV-000087,MSG-000087-05,CUST-0016,2026-01-28 13:23:00,"On the current thread (460654), I’m going to send a written explanation — tomorrow.",send a written explanation,,tomorrow,2026-01-29 00:00:00,overdue,222.68129562958333,1,False,,0.0
CONV-000087,MSG-000087-06,CUST-0016,2026-01-28 13:23:01,"On the current thread (468573), Hi — Let me arrange a replacement unit by Friday.",arrange a replacement unit,,,,no_deadline,0.0,0,False,,0.0
CONV-000088,MSG-000088-02,CUST-0506,2026-02-24 13:04:00,Quick note on ticket 484411: Let me check the delivery scan — today.,check the delivery scan,,today,2026-02-24 00:00:00,overdue,196.6812956296759,1,False,,0.0
CONV-000091,MSG-000091-01,CUST-0843,2026-04-09 23:44:00,"Looking at request 555682, I’m going to send a written explanation tomorrow, then I’ll update you.",send a written explanation,,tomorrow,2026-04-10 00:00:00,overdue,151.68129562976853,1,False,,0.0
CONV-000091,MSG-000091-04,CUST-0843,2026-04-09 23:56:01,"In this account context, Count on me to attach the requested export later this week, then I’ll update you.",attach the requested export,,this week,2026-04-15 00:00:00,overdue,146.68129562986113,1,False,,0.0
CONV-000092,MSG-000092-01,CUST-0978,2026-02-16 14:43:00,"For the record, I can take this forward and send the corrected invoice today, then I’ll update you.",send the corrected invoice,,today,2026-02-16 00:00:00,overdue,204.6812956299421,1,False,,0.0
CONV-000092,MSG-000092-02,CUST-0978,2026-02-16 14:47:00,"On the support thread, I can take this forward and share the diagnostic notes — today.",share the diagnostic notes,,today,2026-02-16 00:00:00,overdue,204.68129563003473,1,False,,0.0
CONV-000092,MSG-000092-04,CUST-0978,2026-02-16 15:11:01,"Looking at request 619034, let me confirm the cancellation details — tomorrow.",confirm the cancellation details,,tomorrow,2026-02-17 00:00:00,overdue,203.6812956301273,1,False,,0.0
CONV-000092,MSG-000092-05,CUST-0978,2026-02-16 15:19:00,Regarding reference 626953: Leave this with me — I’ll share the diagnostic notes today.,share the diagnostic notes,,today,2026-02-16 00:00:00,overdue,204.68129563020835,1,False,,0.0
CONV-000094,MSG-000094-05,CUST-0163,2026-06-14 08:46:01,Regarding reference 721981: Let me raise this with the engineering queue — within 24 hours.,raise this with the engineering queue,,within 24 hours,2026-06-15 08:46:01,overdue,85.31600627844908,1,False,,0.0
CONV-000094,MSG-000094-06,CUST-0163,2026-06-14 09:04:00,"In this account context, Hi — Let me update the access settings then circle back here.",update the access settings,,,,no_deadline,0.0,0,False,,0.0
CONV-000096,MSG-000096-01,CUST-0677,2026-04-11 13:30:00,"On the current thread (761576), ill make sure I call u with the outcome tomorrow. thx",,,tomorrow,2026-04-12 00:00:00,overdue,149.68129563039352,1,False,,0.0
CONV-000096,MSG-000096-07,CUST-0677,2026-04-11 14:40:01,Quick note on ticket 809090: Let me review the account history — today. I know this has been frustrating.,review the account history,,today,2026-04-11 00:00:00,overdue,150.68129563048612,1,False,,0.0
CONV-000096,MSG-000096-08,CUST-0677,2026-04-11 15:08:00,"On the support thread, I’ll send the corrected invoice within 24 hours.",send the corrected invoice,,within 24 hours,2026-04-12 15:08:00,overdue,149.05074007502316,1,False,,0.0
CONV-000096,MSG-000096-09,CUST-0677,2026-04-11 15:08:01,"Quick note on ticket 824928: I can take this forward and send the corrected invoice today, then I’ll update you.",send the corrected invoice,,today,2026-04-11 00:00:00,overdue,150.6812956306713,1,False,,0.0
CONV-000097,MSG-000097-02,CUST-0749,2026-05-04 17:27:00,"On the current thread (848685), Leave this with me — ill check the delivery scan tomorrow, then ill update u. thx",check the delivery scan,,tomorrow,2026-05-05 00:00:00,overdue,126.68129563075232,1,False,,0.0
CONV-000097,MSG-000097-03,CUST-0749,2026-05-04 17:29:00,"For the record, I can take this forward and send the corrected invoice — tomorrow.",send the corrected invoice,,tomorrow,2026-05-05 00:00:00,overdue,126.68129563084491,1,False,,0.0
CONV-000101,MSG-000101-01,CUST-0976,2026-01-05 12:58:00,"Looking at request 959551, Leave this with me — I’ll check the delivery scan — tomorrow.",check the delivery scan,,tomorrow,2026-01-06 00:00:00,overdue,245.68129563092594,1,False,,0.0
CONV-000101,MSG-000101-02,CUST-0976,2026-01-05 13:04:00,"In this account context, i’ll make sure i raise this with the engineering queue within 24 hours.",raise this with the engineering queue,,within 24 hours,2026-01-06 13:04:00,overdue,245.13685118657406,1,False,,0.0
CONV-000104,MSG-000104-03,CUST-0260,2026-07-15 16:17:00,"On the current thread (086272), I will coordinate the refund review within 24 hours.",coordinate the refund review,,within 24 hours,2026-07-16 16:17:00,overdue,54.00282340887731,1,False,,0.0
CONV-000104,MSG-000104-05,CUST-0260,2026-07-15 16:25:00,"On the current thread (102110), I’ll coordinate the refund review — today.",coordinate the refund review,,today,2026-07-15 00:00:00,overdue,55.6812956312037,1,False,,0.0
CONV-000104,MSG-000104-08,CUST-0260,2026-07-15 16:31:00,"For case 125867, I’ll personally restore the missing entitlement within 24 hours.",restore the missing entitlement,,within 24 hours,2026-07-16 16:31:00,overdue,53.99310118685185,1,False,,0.0
CONV-000108,MSG-000108-06,CUST-0130,2026-01-25 08:37:00,"Quick note on ticket 252571: let me send the corrected invoice within 24 hours, then i’ll update you.",send the corrected invoice,,within 24 hours,2026-01-26 08:37:00,overdue,225.32226785359953,1,False,,0.0
CONV-000111,MSG-000111-01,CUST-0014,2026-08-05 19:23:00,"For case 308004, Hi — I’ll make sure I ask our security team to verify the login — today.",ask our security team to verify the login,,today,2026-08-05 00:00:00,overdue,34.68129563146991,1,False,,0.0
CONV-000116,MSG-000116-01,CUST-0226,2026-07-07 14:35:00,"For case 458465, Let me send the corrected invoice — today.",send the corrected invoice,,today,2026-07-07 00:00:00,overdue,63.681295631550924,1,False,,0.0
CONV-000116,MSG-000116-02,CUST-0226,2026-07-07 14:41:00,"On the support thread, I’ll arrange a replacement unit and update you once I have news.",arrange a replacement unit,,,,no_deadline,0.0,0,False,,0.0
CONV-000117,MSG-000117-05,CUST-0017,2026-08-08 14:07:00,Quick note on ticket 529736: I’ll make sure I trace the failed payment today.,trace the failed payment,,today,2026-08-08 00:00:00,overdue,31.68129563164352,1,False,,0.0
CONV-000118,MSG-000118-01,CUST-0560,2026-06-24 23:12:00,"For the record, ill make sure I send the corrected invoice tomorrow, then ill update u. thx",send the corrected invoice,,tomorrow,2026-06-25 00:00:00,overdue,75.6812956317361,1,False,,0.0
CONV-000118,MSG-000118-02,CUST-0560,2026-06-24 23:16:00,"For case 545574, Let me raise this with the engineering queue later this week.",raise this with the engineering queue,,this week,2026-06-30 00:00:00,overdue,70.6812956318287,1,False,,0.0
CONV-000120,MSG-000120-01,CUST-0637,2026-05-01 09:05:00,"On the support thread, Let me check the delivery scan by Friday, then I’ll update you.",check the delivery scan,,,,no_deadline,0.0,0,False,,0.0
CONV-000127,MSG-000127-02,CUST-0363,2026-06-29 13:01:00,Regarding reference 830658: Let me check the delivery scan without requiring another message from you. I know this has been frustrating.,check the delivery scan,,,,no_deadline,0.0,0,False,,0.0
CONV-000128,MSG-000128-05,CUST-0685,2026-08-08 18:17:02,"Looking at request 870253, Hi — Count on me to raise this with the engineering queue within 24 hours, then I’ll update you.",raise this with the engineering queue,,within 24 hours,2026-08-09 18:17:02,overdue,29.919466928217595,1,False,,0.0
CONV-000129,MSG-000129-01,CUST-0847,2026-01-14 04:15:00,"In this account context, I can take this forward and trace the failed payment later this week.",trace the failed payment,,this week,2026-01-20 00:00:00,overdue,231.68129563201387,1,False,,0.0
